MATRIX_SIZE,THREADS,CHUNK,IJK,IKJ,JIK,JKI,KIJ,KJI
480,10,48,1.000000,1.900234,1.141069,1.207022,1.876381,1.229094
480,10,96,1.000000,1.460203,1.028785,0.890880,1.482827,0.794197
480,10,192,1.000000,1.490174,0.989195,0.946159,1.451661,0.925747
640,10,48,1.000000,1.312477,0.986996,0.927690,1.388990,0.976957
640,10,96,1.000000,1.489289,0.994112,0.981520,1.344800,0.938616
640,10,192,1.000000,1.485409,0.997795,1.008737,1.448299,1.001279
960,10,48,1.000000,1.678012,0.839352,0.555985,1.504082,0.625038
960,10,96,1.000000,2.313259,1.020001,0.721878,1.930511,0.741512
960,10,192,1.000000,2.073036,0.958237,0.675569,2.031232,0.659320
1280,10,48,1.000000,1.595399,1.061795,0.868899,1.528792,0.916922
1280,10,96,1.000000,1.658782,1.014343,0.928780,1.564228,0.951882
1280,10,192,1.000000,1.626606,0.987858,0.866570,1.600458,0.931160
1920,10,48,1.000000,4.190514,0.970668,0.454774,4.010613,0.521700
1920,10,96,1.000000,4.414480,0.999208,0.552193,4.209605,0.562393
1920,10,192,1.000000,4.076725,0.933842,0.495014,3.940388,0.512022
480,10,48,1.000000,1.781140,1.382828,1.176600,1.756215,1.152557
480,10,96,1.000000,1.506633,1.007974,0.865668,1.445451,0.838623
480,10,192,1.000000,1.494267,1.002417,0.916826,1.451184,0.932716
640,10,48,1.000000,1.620557,1.098794,0.986136,1.613886,0.997358
640,10,96,1.000000,1.481798,1.001670,1.016480,1.407015,1.029564
640,10,192,1.000000,1.497629,0.999184,1.003183,1.449678,1.004186
960,10,48,1.000000,2.194603,0.945542,0.816203,2.023677,0.775016
960,10,96,1.000000,2.424364,0.975574,0.789440,2.487671,0.862747
960,10,192,1.000000,2.375084,0.948714,0.689293,2.316128,0.678986
1280,10,48,1.000000,1.609889,1.055681,0.870643,1.631852,0.918025
1280,10,96,1.000000,1.707962,1.105820,0.888177,1.694830,1.002881
1280,10,192,1.000000,1.629703,1.002222,0.852774,1.578700,0.919922
1920,10,48,1.000000,4.357409,0.993550,0.528613,4.290837,0.550160
1920,10,96,1.000000,4.171917,0.987652,0.524787,4.177816,0.541651
1920,10,192,1.000000,4.349871,0.987701,0.525250,4.239865,0.545747
