MATRIX_SIZE,CHUNK,SERIAL_BASELINE,P2T,P4T,P8T
480,48,1.000000,2.147154,3.546221,5.149840
480,96,1.000000,1.651043,2.605613,4.953324
480,192,1.000000,1.844633,2.707539,2.706707
640,48,1.000000,2.024890,3.478874,6.816995
640,96,1.000000,1.894074,3.356636,6.696288
640,192,1.000000,1.751798,2.975004,3.368328
960,48,1.000000,2.335483,4.834602,7.988035
960,96,1.000000,1.986882,3.673784,5.469772
960,192,1.000000,2.063575,3.043684,5.848171
1280,48,1.000000,2.106650,4.171280,6.953433
1280,96,1.000000,2.119047,3.633119,6.989088
1280,192,1.000000,2.091570,3.757046,7.240814
1920,48,1.000000,3.215989,5.945813,10.252553
1920,96,1.000000,3.065482,5.938566,9.597601
1920,192,1.000000,3.263071,5.168222,7.495516
480,48,1.000000,2.191483,3.628679,5.308318
480,96,1.000000,1.816637,2.722809,5.346384
480,192,1.000000,1.832849,2.730681,2.723180
640,48,1.000000,2.063997,3.599681,6.922319
640,96,1.000000,1.982137,3.571207,7.052804
640,192,1.000000,1.839472,3.628092,3.638423
960,48,1.000000,2.596395,5.108158,8.178078
960,96,1.000000,2.283896,4.256051,6.011643
960,192,1.000000,2.068567,3.100368,6.145265
1280,48,1.000000,2.316275,4.541663,7.525934
1280,96,1.000000,2.238375,3.914430,7.500493
1280,192,1.000000,2.107868,3.838944,7.636148
1920,48,1.000000,3.285985,6.206714,11.353574
1920,96,1.000000,3.115374,6.028684,9.467262
1920,192,1.000000,3.114474,5.091480,7.004501
