MATRIX_SIZE,IJK,IKJ,JIK,JKI,KIJ,KJI
480,1.000000,7.331316,1.189434,0.280291,4.242181,0.291856
640,1.000000,6.569462,1.022500,0.449726,4.098345,0.534611
960,1.000000,9.198515,0.962012,0.288298,5.587768,0.286780
1280,1.000000,5.731930,0.999827,0.319875,3.859824,0.338652
1920,1.000000,60.189062,3.553330,2.260027,54.222282,2.173239
480,1.000000,7.082729,1.139205,0.261361,4.192665,0.268706
640,1.000000,6.254896,0.989440,0.449217,3.971562,0.517485
960,1.000000,6.824170,0.981114,0.249857,4.805047,0.242949
1280,1.000000,5.362793,0.971652,0.342708,3.648955,0.354311
1920,1.000000,70.401135,5.203893,3.281948,55.709072,3.269935
